index,origin,ea,size,h4,h8,h16,h32,h64
1563.0,1524.0,9533.336773287352,863420.0,3.656493757776478,5.239701163184655,6.830017070101119,8.419797467504534,10.015684008810409
1564.0,1154.0,4583.259894545611,155193.0,3.999754286000368,5.834682231513426,6.424671490688697,8.15193192412977,10.050450590937569
1565.0,1503.0,2832.8605208414383,1132087.0,3.8916065203577546,5.702069218803187,7.192464610886056,8.72862523671303,10.4155736789698
1566.0,1539.0,2369.264837044137,506856.0,3.785351225984508,4.894437078648688,6.026442947341481,7.525684165358522,9.298175357673289
1567.0,754.0,5003.129654427057,1120415.0,3.709397021932264,5.468951103724956,7.061163966564773,8.52408429538986,10.149270543532769
1568.0,1503.0,4347.062016338925,1393203.0,3.544652984400164,4.710313215761352,6.17130377464438,7.773603485026393,9.382878215548033
1569.0,1457.0,11363.28801413335,989067.0,3.211072120935615,4.674926354741182,6.3710916945549645,8.071080131629605,9.80011575099094
1570.0,499.0,6823.053520385761,890437.0,3.9100866645471135,5.769074838248679,7.45639642211184,8.871304662750754,10.441415640351911
1571.0,1531.0,9016.291945485986,1020427.0,3.850748674885241,5.685388168421349,7.318247067183395,8.826688815379384,10.386101780077109
1572.0,1556.0,1622.6460781089218,710042.0,3.4642451210131617,4.427966938160445,5.536073576601286,7.235426782993342,9.079415999748331
1573.0,1116.0,3086.398527563825,306503.0,3.341022658440127,4.161706054727557,5.602690814822024,7.340559811552263,9.182779650407376
1574.0,1288.0,5824.045821884358,1093516.0,3.5916794561207848,4.957800611892857,6.488548871269673,8.20739729940447,9.992777724883542
1575.0,1503.0,4289.62128359404,2107137.0,3.455688763740225,4.887635183998082,6.236591507382967,7.805478236135047,9.38833909699996
1576.0,810.0,7871.969650323655,1070559.0,3.760464961961718,5.554805198492635,7.216571441836779,8.66501112385193,10.214211652755369
1577.0,1503.0,1909.7838575458463,370061.0,3.605009151763936,4.756251599183967,6.048824753894861,7.747442610427566,9.581954800537844
1578.0,1503.0,5685.165751678,1539494.0,3.4446149593272404,4.862230292432637,6.262214973256896,7.886814557218555,9.51995075841369
